,name,reference product,location,unit
1729,"scandium oxide to generic market for electrolyte, for solid oxide fuel cell","electrolyte, for solid oxide fuel cell",GLO,kilogram
1730,"transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO3, R134a refrigerant, freezing","transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO3, R134a refrigerant, freezing",GLO,ton kilometer
1731,"treatment of used capacitor, to hazardous waste incineration",used capacitor,CH,kilogram
1732,"sodium hypochlorite production, product in 15% solution state","sodium hypochlorite, without water, in 15% solution state",CA-QC,kilogram
1733,"mini CHP plant construction, common components for heat+electricity","mini CHP plant, common components for heat+electricity",CH,unit
1734,"ammonia production, steam reforming, liquid","ammonia, anhydrous, liquid",RoW,kilogram
1735,"market for clover seed, Swiss integrated production, at farm","clover seed, Swiss integrated production, at farm",GLO,kilogram
1736,"electricity, high voltage, production mix","electricity, high voltage",PE,kilowatt hour
1737,"silicon production, single crystal, Czochralski process, photovoltaics","silicon, single crystal, Czochralski process, photovoltaics",RoW,kilogram
1738,"market for silencer, steel, DN 125","silencer, steel, DN 125",GLO,unit
1739,treatment of spent sawing slurry from Si-wafer cutting,spent sawing slurry from Si-wafer cutting,RoW,litre
1740,"electricity production, photovoltaic, 3kWp slanted-roof installation, a-Si, laminated, integrated","electricity, low voltage",RoW,kilowatt hour
1741,"maintenance, light commercial vehicle","maintenance, light commercial vehicle",RER,unit
1742,market for ethylene carbonate,ethylene carbonate,GLO,kilogram
1743,"market for soybean, Swiss integrated production","soybean, Swiss integrated production",CH,kilogram
1744,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","heat, district or industrial, other than natural gas",DE,megajoule
1745,"tap water production, direct filtration treatment",tap water,RoW,kilogram
1746,cationic resin production,cationic resin,RoW,kilogram
1747,"market for iron scrap, unsorted","iron scrap, unsorted",GLO,kilogram
1748,market for decarbonising waste,decarbonising waste,CH,kilogram
1749,market for waste polypropylene,waste polypropylene,HU,kilogram
1750,electricity voltage transformation from medium to low voltage,"electricity, low voltage",CA-SK,kilowatt hour
1751,oriented strand board production,oriented strand board,CA-QC,cubic meter
1752,"market for used powertrain, electric scooter","used powertrain, electric scooter",GLO,kilogram
1753,"zirconium and hafnium tetrachloride production, from zircon",silicon tetrachloride,FR,kilogram
1754,"treatment of waste polystyrene, open dump, wet infiltration class (500mm)",waste polystyrene,GLO,kilogram
1755,"treatment of waste newspaper, municipal incineration","electricity, for reuse in municipal waste incineration only",RoW,kilowatt hour
1756,rape oil mill operation,rape meal,RoW,kilogram
1757,"control cabinet production, heat and power co-generation unit, 160kW electrical","control cabinet, heat and power co-generation unit, 160kW electrical",RoW,unit
1758,"market group for electricity, low voltage","electricity, low voltage",CA,kilowatt hour
1759,"heat and power co-generation, wood chips, 6667 kW","heat, district or industrial, other than natural gas",CL,megajoule
1760,clinker production,"waste plastic, mixture",RoW,kilogram
1761,"treatment of waste glass sheet, collection for final disposal",waste glass sheet,Europe without Switzerland,kilogram
1762,"treatment of municipal solid waste, open dump, very wet infiltration class (1000mm)",municipal solid waste,GLO,kilogram
1763,"integrated circuit production, logic type","integrated circuit, logic type",GLO,kilogram
1764,"outside air intake production, stainless steel, DN 370","outside air intake, stainless steel, DN 370",RoW,unit
1765,market for propane,propane,GLO,kilogram
1766,ground granulated blast furnace slag to generic market for supplementary cementitious materials,supplementary cementitious materials,RoW,kilogram
1767,market for paclobutrazol,paclobutrazol,GLO,kilogram
1768,"electricity production, nuclear, pressure water reactor","electricity, high voltage",US-SERC,kilowatt hour
1769,market for cationic resin,cationic resin,RER,kilogram
1770,market for fermentation filtrate,fermentation filtrate,GLO,kilogram
1771,"market for wood pellet, measured as dry mass","wood pellet, measured as dry mass",RoW,kilogram
1772,sodium nitrite production,sodium nitrite,RoW,kilogram
1773,"methanol production, from synthetic gas","methanol, from biomass",RoW,kilogram
1774,"treatment of sewage sludge, 70% water, WWT, WW from grass refinery, municipal incineration","heat, for reuse in municipal waste incineration only",GLO,megajoule
1775,"metal working, average for aluminium product manufacturing","metal working, average for aluminium product manufacturing",RoW,kilogram
1776,"electronic component production, passive, unspecified","electronic component, passive, unspecified",GLO,kilogram
1777,phosphorus pentachloride production,phosphorus pentachloride,RoW,kilogram
1778,"electricity production, oil","electricity, high voltage",CN-CQ,kilowatt hour
1779,"transport, passenger car with internal combustion engine","transport, passenger car with internal combustion engine",RoW,kilometer
1780,breadcrumbs production,breadcrumbs,RoW,kilogram
1781,"land already in use, annual cropland to annual crop","land tenure, arable land, measured as carbon net primary productivity, annual crop",FI,kilogram
1782,market for waste polypropylene,waste polypropylene,NL,kilogram
1783,market for naphtha,naphtha,RER,kilogram
1784,"electricity production, wind, 1-3MW turbine, onshore","electricity, high voltage",CA-NB,kilowatt hour
1785,"maintenance, container ship","maintenance, container ship",GLO,unit
1786,"market for waste wood, untreated","waste wood, untreated",SE,kilogram
1787,market for portachrom,portachrom,GLO,kilogram
1788,"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","electricity, high voltage",GB,kilowatt hour
1789,"clear-cutting, primary forest to arable land, annual crop","land tenure, arable land, measured as carbon net primary productivity, annual crop",BR-MG,kilogram
1790,"market for land use change, perennial crop","land use change, perennial crop",BR-TO,hectare
1791,"market for heat and power co-generation unit, 6400kW thermal, components for electricity only","heat and power co-generation unit, 6400kW thermal, components for electricity only",GLO,unit
1792,"electricity, high voltage, import from IR","electricity, high voltage",TR,kilowatt hour
1793,"market for sewage sludge, 70% water, WWT, WW from hard fibreboard production","sewage sludge, 70% water, WWT, WW from hard fibreboard production",RoW,kilogram
1794,"treatment of waste polyvinylchloride, sanitary landfill",waste polyvinylchloride,CH,kilogram
1795,"electricity production, wind, <1MW turbine, onshore","electricity, high voltage",MX,kilowatt hour
1796,"market for maize seed, organic, at farm","maize seed, organic, at farm",GLO,kilogram
1797,"coal stove production, 5-15kW","coal stove, 5-15kW",RoW,unit
1798,"market for residues, MSWI-WWT, WW from ammonium paratungstate production","residues, MSWI-WWT, WW from ammonium paratungstate production",RoW,kilogram
1799,"market for land tenure, arable land, measured as carbon net primary productivity, perennial crop","land tenure, arable land, measured as carbon net primary productivity, perennial crop",BR-BA,kilogram
1800,"market for cattle for slaughtering, live weight","cattle for slaughtering, live weight",BR,kilogram
1801,"treatment of sewage sludge, 97% water, WWT, WW, average, landfarming","organic nitrogen fertiliser, as N",Europe without Switzerland,kilogram
1802,"electricity production, natural gas, combined cycle power plant","electricity, high voltage",PL,kilowatt hour
1803,chlorothalonil production,chlorothalonil,RER,kilogram
1804,"electricity production, wind, >3MW turbine, onshore","electricity, high voltage",CN-GX,kilowatt hour
1805,"polymethyl methacrylate production, sheet","polymethyl methacrylate, sheet",RER,kilogram
1806,"electricity production, oil","electricity, high voltage",EE,kilowatt hour
1807,"land already in use, perennial cropland to perennial crop","land tenure, arable land, measured as carbon net primary productivity, perennial crop",AR,kilogram
1808,"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal","electricity, high voltage",BR-North-eastern grid,kilowatt hour
1809,"market group for waste plastic, mixture","waste plastic, mixture",Europe without Switzerland,kilogram
1810,"market for maize grain, organic","maize grain, organic",GLO,kilogram
1811,"polyester fibre production, finished","fibre, polyester",RoW,kilogram
1812,lauric diethanolamide production,lauric diethanolamide,GLO,kilogram
1813,"market for bitumen seal, polymer EP4 flame retardant","bitumen seal, polymer EP4 flame retardant",GLO,kilogram
1814,market for waste polypropylene,waste polypropylene,IS,kilogram
1815,"land already in use, annual cropland to perennial crop","land tenure, arable land, measured as carbon net primary productivity, perennial crop",CN,kilogram
1816,"electricity production, wind, <1MW turbine, onshore","electricity, high voltage",US-SERC,kilowatt hour
1817,"market for waste plastic, mixture","waste plastic, mixture",AT,kilogram
1818,"treatment of sewage sludge, 75% water, WWT, WW from plywood production, sanitary landfill","heat, district or industrial, other than natural gas",GLO,megajoule
1819,"electricity production, oil","electricity, high voltage",BA,kilowatt hour
1820,uranium enrichment centrifuge facility construction,uranium enrichment centrifuge facility,RoW,unit
1821,market for calcium ammonium nitrate,calcium ammonium nitrate,RNA,kilogram
1822,"treatment of residues, MSWI-WWT, WW from medium density board production, residual material landfill","residues, MSWI-WWT, WW from medium density board production",RER,kilogram
1823,ethylene hydration,"diethyl ether, without water, in 99.95% solution state",RER,kilogram
1824,"market for heat, central or small-scale, biomethane","heat, central or small-scale, biomethane",RoW,megajoule
1825,market for erbium oxide,erbium oxide,GLO,kilogram
1826,"market for recultivation, dolomite mine","recultivation, dolomite mine",GLO,square meter
1827,"market for sewage sludge, 97% water, WWT, WW from concrete production","sewage sludge, 97% water, WWT, WW from concrete production",CH,kilogram
1828,"market for limestone, crushed, for mill","limestone, crushed, for mill",IN,kilogram
1829,market for irrigation,irrigation,DE,cubic meter
1830,"treatment of fly ash and scrubber sludge, hazardous waste incineration",fly ash and scrubber sludge,Europe without Switzerland,kilogram
1831,ethylene glycol dimethyl ether production,ethylene glycol dimethyl ether,RER,kilogram
1832,"treatment of scrap tin sheet, municipal incineration",scrap tin sheet,RoW,kilogram
1833,market for triphenyl phosphate,triphenyl phosphate,GLO,kilogram
1834,"treatment of refinery sludge, hazardous waste incineration, with energy recovery",refinery sludge,Europe without Switzerland,kilogram
1835,market for waste polyethylene,waste polyethylene,DK,kilogram
1836,"market for cast iron removed by turning, average, conventional","cast iron removed by turning, average, conventional",GLO,kilogram
1837,"hardwood forestry, oak, sustainable forest management","pulpwood, hardwood, measured as solid wood under bark",RoW,cubic meter
1838,"market for impact extrusion of steel, cold, tempering","impact extrusion of steel, cold, tempering",GLO,kilogram
1839,"treatment of heat carrier liquid, 40% C3H8O2, wastewater treatment","heat, central or small-scale, other than natural gas",RoW,megajoule
